"Group" "sort" "x" "y"
7 22 120.45296068 23.350259313
7 23 120.45267445 23.349701703
7 24 120.45227563 23.349140385
7 25 120.45189343 23.348626493
7 26 120.45145871 23.347918810
7 27 120.45095138 23.347271731
7 28 120.45017420 23.346156257
7 29 120.44952970 23.345412797
7 30 120.44920940 23.345037106
7 31 120.44858345 23.343607601
7 32 120.44824683 23.342403882
7 33 120.44788969 23.341121828
7 34 120.44760121 23.340388747
7 35 120.44702424 23.338614545
7 36 120.44635998 23.336553919
7 37 120.44552749 23.335188975
7 38 120.44511130 23.334506457
7 39 120.44435058 23.333431265
7 40 120.44418681 23.333005818
7 41 120.44406044 23.332591382
7 42 120.44389311 23.331762814
7 43 120.44389179 23.331592026
7 44 120.44397686 23.331335965
7 45 120.44408926 23.330797540
7 46 120.44424140 23.330147528
7 47 120.44443852 23.328945692
7 48 120.44461586 23.327369226
7 49 120.44469457 23.325814661
7 50 120.44423096 23.324246577
7 51 120.44313879 23.321795921
7 52 120.44204506 23.319541203
8 0 120.43769499 23.316895684
8 1 120.43670379 23.316249573
8 2 120.43556275 23.315786503
8 3 120.43442211 23.315231633
8 4 120.43343055 23.314677294
8 5 120.43179611 23.313386275
8 6 120.43065706 23.312464212
8 7 120.42986451 23.311864676
8 8 120.42832795 23.310941150
8 9 120.42733665 23.310340877
8 10 120.42619727 23.309510574
8 11 120.42476054 23.308495585
8 12 120.42322425 23.307526114
8 13 120.42168758 23.306648420
8 14 120.41970392 23.305723160
8 15 120.41801843 23.304798983
8 16 120.41682947 23.303968429
8 17 120.41549084 23.303274997
8 18 120.41375653 23.302167007
8 19 120.41227008 23.301197617
8 20 120.41098261 23.300183063
8 21 120.41007821 23.299416568
9 0 120.41007821 23.299416568
9 1 120.41006289 23.299405065
9 2 120.40936022 23.298819080
9 3 120.40865746 23.298233002
9 4 120.40795471 23.297647101
9 5 120.40725196 23.297061016
9 6 120.40654922 23.296475019
9 7 120.40584648 23.295889018
9 8 120.40514385 23.295303015
9 9 120.40444112 23.294716918
9 10 120.40373840 23.294130908
9 11 120.40311653 23.293415532
9 12 120.40192662 23.292080425
9 13 120.40118248 23.291341639
9 14 120.40049503 23.290692192
9 15 120.39941040 23.289522628
9 16 120.39884526 23.288896398
9 17 120.39831299 23.288111905
9 18 120.39780477 23.287546391
9 19 120.39713600 23.286731662
9 20 120.39671662 23.285758690
9 21 120.39618438 23.284974281
9 22 120.39588033 23.284073991
9 23 120.39534140 23.283236908
9 24 120.39508760 23.282184834
9 25 120.39496801 23.281373386
9 26 120.39466388 23.280473093
9 27 120.39435660 23.279468220
9 28 120.39404924 23.278463345
9 29 120.39374198 23.277458380
9 30 120.39343472 23.276453414
9 31 120.39288815 23.275627761
9 32 120.39234150 23.274802106
9 33 120.39179495 23.273976541
9 34 120.39121920 23.273102639
9 35 120.39064366 23.272228827
9 36 120.39006793 23.271354921
9 37 120.38949231 23.270481104
9 38 120.38891669 23.269607285
9 39 120.38846288 23.268558936
9 40 120.38800917 23.267510406
9 41 120.38755537 23.266462055
9 42 120.38710158 23.265413703
9 43 120.38672420 23.264499472
9 44 120.38634692 23.263585152
9 45 120.38596955 23.262670920
9 46 120.38559228 23.261756687
9 47 120.38521502 23.260842454
9 48 120.38482142 23.260017372
9 49 120.38442772 23.259192199
9 50 120.38403423 23.258367116
9 51 120.38364055 23.257542032
9 52 120.38324697 23.256716856
9 53 120.38285340 23.255891860
9 54 120.38217884 23.255005527
9 55 120.38150430 23.254119282
9 56 120.38082986 23.253233035
9 57 120.38015533 23.252346694
9 58 120.37966456 23.251392538
9 59 120.37917380 23.250438380
9 60 120.37868304 23.249484131
9 61 120.37819239 23.248529971
9 62 120.37773308 23.247350002
9 63 120.37727398 23.246170032
9 64 120.37681489 23.244990061
9 65 120.37633116 23.244233229
9 66 120.37584735 23.243476395
9 67 120.37536354 23.242719470
9 68 120.37487983 23.241962634
9 69 120.37439603 23.241205706
9 70 120.37391224 23.240448866
9 71 120.37342855 23.239692116
9 72 120.37292937 23.238861617
9 73 120.37243040 23.238031118
9 74 120.37193124 23.237200707
9 75 120.37143219 23.236370204
9 76 120.37093304 23.235539699
9 77 120.37043399 23.234709283
9 78 120.36993486 23.233878775
9 79 120.36937780 23.232732704
9 80 120.36882095 23.231586722
9 81 120.36826401 23.230440557
9 82 120.36781949 23.229409343
9 83 120.36737518 23.228378129
9 84 120.36693077 23.227346913
9 85 120.36648637 23.226315606
9 86 120.36626322 23.225422536
9 87 120.36604007 23.224529467
9 88 120.36581692 23.223636306
9 89 120.36559378 23.222743236
9 90 120.36537064 23.221850165
9 91 120.36531107 23.220871969
9 92 120.36525150 23.219893773
9 93 120.36519193 23.218915486
9 94 120.36513237 23.217937289
9 95 120.36515511 23.217010896
9 96 120.36517786 23.216084413
9 97 120.36520051 23.215157929
9 98 120.36522325 23.214231536
9 99 120.36524590 23.213305142
9 100 120.36526865 23.212378658
9 101 120.36529139 23.211452264
9 102 120.36531413 23.210525870
9 103 120.36531954 23.209382053
9 104 120.36532494 23.208238235
9 105 120.36533034 23.207094507
9 106 120.36519417 23.206161692
9 107 120.36505799 23.205228786
9 108 120.36492182 23.204296061
9 109 120.36478575 23.203363246
9 110 120.36464948 23.202430521
9 111 120.36451341 23.201497705
10 0 120.60723527 23.524605941
10 1 120.60602549 23.522432260
10 2 120.60555868 23.521092527
10 3 120.60528729 23.520006527
10 4 120.60494003 23.518052083
10 5 120.60435631 23.516458809
10 6 120.60460934 23.513816173
10 7 120.60461318 23.512261162
10 8 120.60452836 23.511394450
10 9 120.60426149 23.510188208
10 10 120.60406387 23.509294995
10 11 120.60373753 23.508587403
10 12 120.60310541 23.507216762
10 13 120.60239058 23.505618918
10 14 120.60197517 23.504687686
10 15 120.60175587 23.502679891
10 16 120.60189054 23.500104671
10 17 120.60187156 23.498627002
10 18 120.60138201 23.497426291
10 19 120.60099266 23.496018692
10 20 120.60084780 23.495110836
10 21 120.60061430 23.492717051
10 22 120.60051009 23.490895681
10 23 120.60037968 23.488669553
10 24 120.60043948 23.487025654
10 25 120.60036133 23.485659625
10 26 120.60045076 23.483282301
10 27 120.60018257 23.481283456
10 28 120.60002537 23.478854911
10 29 120.59997282 23.478095983
10 30 120.59994829 23.477134779
10 31 120.59989742 23.475819406
10 32 120.59957319 23.474225105
10 33 120.59934191 23.473203173
10 34 120.59914105 23.472048783
10 35 120.59873221 23.471238350
10 36 120.59826877 23.470351896
10 37 120.59790021 23.469479335
10 38 120.59766985 23.468933935
10 39 120.59723430 23.467904020
10 40 120.59676344 23.466649580
10 41 120.59670159 23.465456593
10 42 120.59718097 23.463902625
10 43 120.59794049 23.461715216
10 44 120.59878083 23.459359972
10 45 120.59975497 23.457039159
10 46 120.60027365 23.455520568
10 47 120.60117372 23.453298215
10 48 120.60212238 23.450591583
10 49 120.60275738 23.448679451
10 50 120.60367209 23.446746522
10 51 120.60398838 23.446188251
10 52 120.60517994 23.445191390
10 53 120.60582314 23.444418914
10 54 120.60649017 23.443463720
10 55 120.60688872 23.442669119
10 56 120.60698349 23.442142539
10 57 120.60700861 23.441529770
10 58 120.60697582 23.440798590
10 59 120.60683758 23.439885416
10 60 120.60671316 23.439324922
10 61 120.60653369 23.438850131
10 62 120.60641720 23.438541982
10 63 120.60616216 23.438068092
10 64 120.60585515 23.437497638
11 0 120.60562049 23.437221829
11 1 120.60585515 23.437497638
12 0 120.51547749 23.319177449
12 1 120.51557719 23.320373906
12 2 120.51557223 23.321739952
12 3 120.51550347 23.322967214
12 4 120.51543428 23.324313263
12 5 120.51542746 23.326194050
12 6 120.51537919 23.327678748
12 7 120.51539769 23.328490522
12 8 120.51552409 23.329104650
12 9 120.51575741 23.329798300
12 10 120.51605554 23.330353565
12 11 120.51665332 23.331048339
12 12 120.51752910 23.331941947
12 13 120.51900347 23.333312541
12 14 120.51983690 23.334067421
12 15 120.52062739 23.334841963
12 16 120.52146104 23.335537441
12 17 120.52228266 23.336205727
12 18 120.52330152 23.337426643
12 19 120.52427485 23.338668410
12 20 120.52518080 23.339679003
12 21 120.52601818 23.340794368
12 22 120.52634760 23.341348514
12 23 120.52660589 23.341782993
12 24 120.52728411 23.342897870
12 25 120.52778051 23.343991197
12 26 120.52827721 23.345000539
12 27 120.52895510 23.346220389
12 28 120.52995032 23.347735145
12 29 120.53042624 23.348198503
12 30 120.53241765 23.350976030
12 31 120.53432374 23.352157530
12 32 120.53713835 23.353677643
12 33 120.53950138 23.354272521
12 34 120.54266182 23.355821927
12 35 120.54325315 23.355946300
12 36 120.54547556 23.356542111
12 37 120.54653857 23.356795216
12 38 120.54779446 23.357209604
12 39 120.54870261 23.357497966
12 40 120.55057545 23.358521309
12 41 120.55194653 23.359203876
12 42 120.55395423 23.360406152
12 43 120.55586464 23.361786717
12 44 120.55794772 23.363614216
12 45 120.55914261 23.364956999
12 46 120.56050927 23.367014610
12 47 120.56129840 23.368231224
12 48 120.56227934 23.369948419
12 49 120.56275962 23.370967714
12 50 120.56345008 23.372791244
12 51 120.56369884 23.373302809
12 52 120.56420940 23.374687502
12 53 120.56537398 23.376549511
12 54 120.56630643 23.377805687
12 55 120.56705369 23.378412938
12 56 120.56803384 23.379409872
12 57 120.56824913 23.379839088
12 58 120.56901092 23.381357790
12 59 120.57008253 23.383046599
12 60 120.57185521 23.385169594
12 61 120.57358029 23.387551800
12 62 120.57444383 23.388478396
12 63 120.57568049 23.389805324
12 64 120.57759330 23.392101543
12 65 120.57894459 23.394266545
12 66 120.58020158 23.396647418
12 67 120.58099244 23.398335397
12 68 120.58229837 23.400067978
12 69 120.58313775 23.401237351
12 70 120.58402289 23.402752657
12 71 120.58457992 23.404353541
12 72 120.58513711 23.405911197
12 73 120.58588165 23.407469346
12 74 120.58704709 23.409244741
12 75 120.58751279 23.410110514
12 76 120.58769612 23.411407809
12 77 120.58778552 23.412791311
12 78 120.58801570 23.414088730
12 79 120.58848155 23.414911271
12 80 120.58932200 23.415778025
12 81 120.59011376 23.417249824
12 82 120.59090647 23.418419032
12 83 120.59188469 23.420193899
12 84 120.59281809 23.421320239
12 85 120.59351729 23.422445962
12 86 120.59426255 23.423831164
12 87 120.59491256 23.425734840
12 88 120.59528310 23.427119066
12 89 120.59565444 23.428243931
12 90 120.59593380 23.428806606
12 91 120.59663411 23.429586501
12 92 120.59789567 23.430670429
12 93 120.59840875 23.431406610
12 94 120.59882723 23.432445133
12 95 120.59971327 23.433787445
12 96 120.60092882 23.434611869
12 97 120.60275353 23.435394609
12 98 120.60425032 23.436176496
12 99 120.60469597 23.436543373
12 100 120.60585515 23.437497638
13 0 120.35123767 23.063317601
13 1 120.34379908 23.062125967
13 2 120.33811756 23.059487578
13 3 120.33400995 23.057607933
14 0 120.33400995 23.057607933
14 1 120.33323740 23.057254396
14 2 120.33127095 23.056307851
14 3 120.32952033 23.056160016
14 4 120.32850011 23.055819220
14 5 120.32747911 23.055677711
14 6 120.32398123 23.054518755
14 7 120.32077504 23.053428523
14 8 120.31946254 23.053217984
14 9 120.31742035 23.053001214
14 10 120.31464873 23.052711726
14 11 120.30910422 23.052464548
14 12 120.30618524 23.052505675
14 13 120.30465391 23.052293149
14 14 120.30217668 23.051408204
14 15 120.30006383 23.050659203
15 0 120.38863572 23.075848267
15 1 120.38935991 23.075113116
15 2 120.39014592 23.074366731
15 3 120.39087020 23.073631663
15 4 120.39163091 23.072843182
15 5 120.39242359 23.072062135
15 6 120.39322699 23.071283562
15 7 120.39401965 23.070502506
15 8 120.39478042 23.069713829
15 9 120.39567659 23.069047755
15 10 120.39659424 23.068245942
15 11 120.39751188 23.067444214
15 12 120.39840802 23.066778033
15 13 120.39930443 23.066181562
15 14 120.40018858 23.065573571
15 15 120.40108507 23.064976999
15 16 120.40215813 23.064394003
15 17 120.40314760 23.063820527
15 18 120.40413716 23.063246865
15 19 120.40521020 23.062663848
15 20 120.40615641 23.062046484
15 21 120.40705094 23.061351259
15 22 120.40794537 23.060656028
15 23 120.40889165 23.060038466
15 24 120.40911480 23.059866822
15 25 120.40933796 23.059695268
15 26 120.40956111 23.059523623
16 0 120.43143667 23.040818929
16 1 120.43500891 23.037468016
16 2 120.43779849 23.035097554
16 3 120.44097951 23.032159060
16 4 120.44438212 23.029376599
16 5 120.44940566 23.024374534
16 6 120.45180419 23.022364571
16 7 120.45464919 23.019890501
16 8 120.45983789 23.015147288
16 9 120.46374239 23.011745172
17 0 120.37896051 23.089439952
17 1 120.37921695 23.088395441
17 2 120.37947318 23.087350838
17 3 120.37972961 23.086306325
17 4 120.38025385 23.085372038
17 5 120.38077807 23.084437750
17 6 120.38130220 23.083503368
17 7 120.38197662 23.082741418
17 8 120.38265084 23.081979375
17 9 120.38332524 23.081217328
17 10 120.38408324 23.080486850
17 11 120.38484123 23.079756277
17 12 120.38559921 23.079025700
17 13 120.38635778 23.078186036
17 14 120.38711624 23.077346278
17 15 120.38787478 23.076506516
17 16 120.38863322 23.075666750
18 0 120.43149207 23.040870872
18 1 120.43076593 23.041657422
18 2 120.43003988 23.042444058
18 3 120.42931382 23.043230601
18 4 120.42858775 23.044017141
18 5 120.42767655 23.044738259
18 6 120.42676534 23.045459462
18 7 120.42585422 23.046180660
18 8 120.42501686 23.046971113
18 9 120.42417949 23.047761561
18 10 120.42334211 23.048552004
18 11 120.42253862 23.049242420
18 12 120.42173502 23.049932921
18 13 120.42093141 23.050623418
18 14 120.42012780 23.051313911
18 15 120.41932417 23.052004400
18 16 120.41859872 23.052622658
18 17 120.41787326 23.053241003
18 18 120.41714780 23.053859255
18 19 120.41642223 23.054477593
18 20 120.41569675 23.055095927
18 21 120.41497127 23.055714258
18 22 120.41394830 23.056521210
18 23 120.41292542 23.057328155
18 24 120.41190252 23.058135003
18 25 120.41080596 23.058845939
18 26 120.40970930 23.059533748
18 27 120.40861272 23.060244488
19 0 121.23496815 24.906406215
19 1 121.22337722 24.906801591
19 2 121.18218649 24.907612724
19 3 121.15879257 24.904996487
19 4 121.14277142 24.902060614
19 5 121.13101439 24.899553122
19 6 121.12209819 24.897546059
19 7 121.11460267 24.896041034
19 8 121.10671253 24.894104209
19 9 121.09813289 24.891078670
19 10 121.08966903 24.887639830
19 11 121.07909768 24.885271420
19 12 121.07105086 24.883044982
19 13 121.06489729 24.880745347
19 14 121.05890183 24.878733200
19 15 121.05274919 24.877584281
19 16 121.04514305 24.875246162
19 17 121.04017581 24.873359729
20 0 121.63439342 25.238452863
20 1 121.63343621 25.238038728
20 2 121.63215922 25.237424778
20 3 121.63006826 25.236573197
20 4 121.62854332 25.235807552
20 5 121.62715955 25.234976948
20 6 121.62382368 25.232835511
20 7 121.62045321 25.230822832
20 8 121.61591356 25.228396709
20 9 121.61431645 25.227309489
20 10 121.61218707 25.225870558
20 11 121.60945457 25.224048012
20 12 121.60597688 25.221713710
20 13 121.60114954 25.218194428
20 14 121.59302087 25.212082272
20 15 121.59234536 25.211345007
20 16 121.59145814 25.210705104
20 17 121.58929613 25.209716382
20 18 121.58677989 25.208600342
20 19 121.58277630 25.207039709
20 20 121.57994145 25.205828288
20 21 121.57827575 25.205062664
20 22 121.57629227 25.204394778
20 23 121.57459185 25.203757938
20 24 121.57303260 25.203056186
20 25 121.57175596 25.202288979
20 26 121.57012407 25.201169229
20 27 121.56909484 25.200368871
20 28 121.56781721 25.199376422
20 29 121.56479891 25.196653283
20 30 121.56352090 25.195564278
20 31 121.56224307 25.194507434
20 32 121.56089513 25.193579537
20 33 121.56011546 25.193196416
20 34 121.55961852 25.192780048
20 35 121.55809411 25.191917138
20 36 121.55639308 25.191087049
20 37 121.55437298 25.190065098
20 38 121.55196193 25.188594156
20 39 121.55079165 25.187826366
20 40 121.54916057 25.186802893
20 41 121.54774138 25.185714271
20 42 121.54628729 25.184722283
20 43 121.54486858 25.183730151
20 44 121.54376852 25.182833352
20 45 121.54295190 25.182064198
20 46 121.54185188 25.181167385
20 47 121.54032647 25.180014732
20 48 121.53887278 25.179087014
20 49 121.53745532 25.178352188
20 50 121.53107578 25.174771831
20 51 121.52692897 25.172373667
20 52 121.52367375 25.170333344
20 53 121.52147276 25.168940755
20 54 121.51466255 25.162856245
20 55 121.50692832 25.156922110
20 56 121.50084783 25.152320234
20 57 121.49545913 25.147623941
20 58 121.48996863 25.142773511
20 59 121.48949264 25.142443934
20 60 121.48822887 25.141397096
20 61 121.48722849 25.140588246
20 62 121.48430263 25.138269029
20 63 121.48340745 25.137507582
20 64 121.48245529 25.136270239
20 65 121.48008080 25.132981601
20 66 121.47570676 25.128266157
20 67 121.47428362 25.126646427
20 68 121.47170037 25.123549408
20 69 121.47027588 25.121547455
20 70 121.46911507 25.119879067
20 71 121.46747968 25.117591112
20 72 121.46637142 25.115922535
20 73 121.46478969 25.113921020
20 74 121.46278627 25.111395296
20 75 121.45820059 25.105820044
20 76 121.45498842 25.102676883
20 77 121.45361867 25.101152326
20 78 121.45219543 25.099341278
20 79 121.45024375 25.096480801
20 80 121.44655155 25.091045772
20 81 121.44233184 25.084704516
20 82 121.44090536 25.081890114
20 83 121.43984888 25.079838980
20 84 121.43847396 25.076737755
20 85 121.43794414 25.075258333
20 86 121.43752060 25.074160786
20 87 121.43704411 25.072920072
20 88 121.43656780 25.071727129
20 89 121.43534956 25.068386541
20 90 121.43428840 25.064949933
20 91 121.43349291 25.062468018
20 92 121.43248414 25.058983467
20 93 121.43073567 25.053924515
20 94 121.42809118 25.047530452
20 95 121.42629623 25.044095886
20 96 121.42555827 25.042999200
20 97 121.42503007 25.041901910
20 98 121.42450032 25.041078166
20 99 121.42344719 25.039087761
20 100 121.42265487 25.037417925
20 101 121.42181014 25.035748233
20 102 121.42117616 25.034364583
20 103 121.42027871 25.032599483
20 104 121.41917024 25.030452778
20 105 121.41784819 25.027160086
20 106 121.41683952 25.023484308
20 107 121.41630730 25.021144865
20 108 121.41598370 25.018470416
20 109 121.41582013 25.016607679
20 110 121.41581659 25.015556656
20 111 121.41575612 25.013168114
20 112 121.41630802 25.005809333
21 0 121.02227769 24.801297449
21 1 121.02077293 24.801417106
21 2 121.01638948 24.801596812
21 3 121.00801508 24.801716936
21 4 121.00471061 24.801688972
21 5 120.99721253 24.800914999
21 6 120.99568637 24.800438524
21 7 120.99396121 24.800140791
21 8 120.99197061 24.799545172
21 9 120.98739250 24.797877635
21 10 120.98606553 24.797282082
21 11 120.98327897 24.795495397
21 12 120.98069146 24.794542388
21 13 120.97943091 24.793946693
21 14 120.97783854 24.793470207
21 15 120.97657803 24.792874489
21 16 120.97286259 24.792159337
21 17 120.97007606 24.791920631
21 18 120.96821828 24.791920249
